"word","freq"
"the",936543
"to",787266
"i",722279
"a",609321
"you",547675
"and",438151
"for",385046
"in",377939
"of",359146
"is",358702
"it",294722
"my",291776
"on",276997
"that",234570
"me",202299
"be",187632
"at",186483
"with",173414
"your",171150
"have",168598
"this",164000
"so",162533
"are",158596
"just",151016
"we",133626
"i'm",129307
"but",127756
"not",123834
"like",122019
"all",120940
"was",117363
"out",115138
"up",113869
"what",112484
"get",112319
"do",106659
"if",106535
"love",106175
"good",100749
"will",94681
"about",91166
"day",90071
"can",89733
"thanks",89526
"rt",89300
"it's",84271
"from",83919
"now",83794
"when",82379
"one",82009
"know",79817
"no",77739
"u",77137
"great",75991
"don't",75959
"time",75581
"how",75537
"today",72847
"go",72402
"as",70828
"or",70410
"lol",70026
"they",69844
"new",69622
"see",66954
"an",66069
"more",62917
"our",61953
"some",61559
"there",61026
"too",59124
"by",58944
"back",57989
"he",56352
"got",55884
"going",55776
"who",55578
"think",53929
"people",51955
"would",51804
"need",50910
"us",48946
"happy",48821
"want",48040
"make",47411
"follow",47322
"has",46448
"right",46083
"can't",45816
"really",45563
"tonight",44613
"much",44502
"been",43899
"had",42166
"work",42066
"am",41418
"night",40940
"come",40570
"did",39927
"thank",39622
"only",39548
"them",38751
"why",38707
"well",38477
"still",38270
"you're",37459
"here",37424
"last",37392
"its",37001
"way",36851
"should",36784
"best",36289
"off",36052
"hope",35501
"that's",35092
"his",34142
"her",34064
"never",33665
"life",33487
"oh",33082
"then",32571
"say",32187
"than",31953
"over",31513
"first",31353
"show",31298
"next",31061
"im",30636
"better",30400
"please",30286
"she",30217
"game",30179
"twitter",30006
"always",29250
"week",28924
"tomorrow",28488
"their",28476
"yes",28469
"take",28065
"him",27863
"down",27848
"i'll",27762
"wait",27202
"man",27190
"haha",27187
"any",27149
"where",26902
"year",26865
"were",26501
"could",26437
"morning",26429
"even",26097
"hey",25888
"getting",25810
"very",25535
"looking",25509
"everyone",25126
"sure",25030
"look",25017
"ever",24990
"awesome",24779
"w",24604
"feel",24562
"home",24397
"after",23843
"big",23776
"let",23765
"being",23534
"because",23248
"d",23149
"fun",23018
"again",22695
"keep",22531
"weekend",22431
"nice",22407
"something",22382
"yeah",22045
"i've",22010
"gonna",21719
"into",21695
"thing",21585
"doing",21267
"things",21257
"guys",21048
"school",20914
"bad",20872
"world",20792
"someone",20552
"help",20332
"check",20301
"free",20265
"those",20045
"miss",20000
"does",19836
"every",19781
"tweet",19721
"live",19707
"soon",19642
"watching",19624
"tell",19620
"other",19596
"amazing",19433
"music",19369
"call",19228
"give",19160
"long",19062
"coming",19043
"little",18947
"many",18900
"before",18779
"may",18738
"friends",18700
"made",18637
"days",18536
"stop",18460
"hate",18445
"most",18420
"same",18326
"wish",18290
"said",18118
"didn't",17963
"s",17663
"girl",17603
"done",17570
"start",17539
"find",17381
"ready",17352
"shit",17348
"cool",17147
"we're",17071
"two",16974
"god",16885
"watch",16868
"another",16831
"play",16819
"pretty",16802
"birthday",16347
"also",16333
"old",16311
"real",16261
"anyone",16190
"talk",16166
"these",15991
"win",15976
"use",15884
"excited",15582
"friday",15363
"hear",15284
"working",15218
"what's",15150
"hard",15136
"sorry",15070
"having",15026
"try",15003
"around",14949
"thought",14774
"ur",14771
"team",14556
"while",14508
"already",14497
"maybe",14493
"though",14375
"wanna",14271
"put",14227
"makes",14159
"glad",14122
"ok",13976
"house",13714
"trying",13688
"away",13613
"wow",13598
"beautiful",13552
"ya",13545
"yet",13504
"lot",13498
"forward",13464
"nothing",13450
"dont",13316
"years",13289
"looks",13258
"true",13216
"job",13176
"sleep",13166
"party",13112
"following",13110
"welcome",13077
"let's",13026
"friend",12951
"doesn't",12911
"saw",12900
"everything",12897
"song",12848
"he's",12824
"guy",12712
"through",12674
"mean",12588
"favorite",12522
"might",12389
"making",12383
"ass",12325
"must",12289
"until",12264
"fuck",12206
"name",12150
"stay",12084
"food",12046
"person",11957
"damn",11911
"book",11892
"family",11871
"which",11866
"read",11821
"anything",11760
"class",11746
"actually",11728
"phone",11723
"end",11673
"few",11629
"hit",11566
"omg",11560
"money",11520
"place",11409
"congrats",11371
"n",11279
"mom",11279
"since",11259
"o",11248
"open",11223
"movie",11150
"gotta",11141
"guess",11137
"baby",11120
"playing",10971
"believe",10913
"video",10849
"i'd",10794
"both",10792
"crazy",10754
"season",10733
"change",10711
"such",10653
"hot",10651
"own",10637
"news",10576
"sounds",10543
"support",10539
"run",10538
"remember",10454
"head",10448
"kids",10417
"funny",10414
"talking",10409
"finally",10376
"summer",10250
"left",10244
"meet",10243
"went",10213
"followers",10189
"enjoy",10175
"stuff",10146
"says",10124
"without",10082
"else",10070
"thinking",9997
"part",9990
"enough",9989
"there's",9894
"early",9884
"r",9867
"b",9815
"city",9803
"cause",9802
"times",9749
"p",9736
"hi",9730
"email",9694
"word",9680
"mind",9659
"high",9608
"far",9605
"hours",9581
"luck",9576
"ask",9478
"ha",9418
"care",9390
"tweets",9373
"hell",9373
"needs",9341
"heart",9293
"facebook",9238
"myself",9230
"heard",9222
"send",9106
"fan",9076
"almost",9000
"isn't",8949
"girls",8947
"business",8945
"bring",8906
"idea",8828
"seen",8817
"we'll",8785
"wrong",8782
"saturday",8725
"car",8713
"feeling",8698
"haven't",8681
"eat",8672
"least",8647
"fans",8638
"won't",8612
"sunday",8611
"probably",8606
"kind",8597
"bed",8584
"buy",8545
"used",8529
"face",8522
"hour",8506
"cant",8447
"sweet",8416
"okay",8392
"late",8377
"dude",8375
"hair",8331
"gets",8271
"post",8181
"meeting",8155
"room",8152
"yourself",8150
"taking",8135
"found",8092
"once",8080
"full",8078
"bitch",8033
"lmao",8023
"social",7959
"seeing",7942
"event",7939
"story",7909
"together",7856
"sometimes",7846
"sad",7840
"super",7833
"monday",7821
"whole",7791
"bro",7779
"black",7774
"lunch",7751
"perfect",7733
"yesterday",7733
"they're",7732
"listening",7731
"break",7650
"top",7642
"tv",7577
"forget",7552
"called",7514
"join",7511
"reading",7507
"rock",7480
"told",7479
"coffee",7473
"c",7450
"point",7444
"text",7439
"lost",7429
"set",7416
"la",7413
"games",7373
"saying",7355
"dinner",7338
"waiting",7285
"came",7245
"special",7242
"definitely",7237
"fucking",7233
"course",7213
"media",7122
"seriously",7054
"leave",7054
"words",6987
"cute",6984
"red",6967
"boy",6953
"agree",6924
"starting",6922
"weather",6908
"goes",6907
"minutes",6897
"learn",6883
"problem",6856
"half",6834
"line",6830
"state",6814
"moment",6803
"thats",6782
"tired",6751
"bout",6735
"started",6710
"white",6700
"she's",6693
"move",6650
"month",6642
"interesting",6612
"question",6611
"wants",6578
"drink",6551
"later",6548
"less",6547
"missed",6482
"loved",6475
"hahaha",6461
"during",6448
"you'll",6443
"totally",6441
"wanted",6436
"1st",6427
"each",6415
"wonder",6383
"pick",6381
"comes",6379
"gone",6361
"office",6355
"list",6350
"chance",6331
"online",6326
"happen",6323
"women",6323
"sick",6302
"took",6285
"beer",6274
"weeks",6241
"using",6230
"yea",6224
"hello",6220
"ago",6213
"wonderful",6197
"either",6197
"bit",6184
"listen",6183
"page",6169
"means",6166
"close",6165
"fall",6095
"future",6083
"tickets",6064
"outside",6058
"lots",6045
"ah",6029
"between",6012
"running",6010
"info",6002
"walk",5985
"different",5984
"yo",5969
"reason",5937
"seems",5898
"second",5888
"others",5863
"students",5853
"rest",5835
"past",5805
"dog",5794
"rain",5792
"visit",5782
"turn",5778
"mine",5777
"ugh",5761
"chicago",5744
"worth",5723
"dream",5695
"plan",5692
"site",5691
"proud",5636
"christmas",5630
"stupid",5625
"mad",5621
"beat",5612
"dance",5611
"number",5610
"writing",5605
"art",5596
"share",5591
"till",5588
"boys",5584
"side",5560
"busy",5557
"dm",5554
"three",5538
"spring",5532
"wasn't",5507
"cold",5465
"men",5453
"service",5446
"college",5435
"blog",5420
"power",5391
"st",5384
"pay",5375
"ill",5365
"who's",5363
"tho",5359
"understand",5355
"austin",5352
"trip",5350
"easy",5335
"park",5333
"yay",5329
"drive",5292
"bar",5279
"deal",5270
"appreciate",5252
"ppl",5244
"club",5240
"website",5236
"cuz",5209
"giving",5206
"thx",5201
"able",5198
"vs",5197
"against",5171
"single",5165
"lets",5163
"young",5163
"huge",5161
"water",5153
"ain't",5143
"under",5141
"kid",5132
"you've",5118
"matter",5106
"via",5101
"success",5092
"weird",5070
"san",5057
"voice",5043
"instead",5040
"finished",5032
"dear",5020
"app",5015
"town",5008
"account",4989
"sound",4985
"#ff",4970
"thursday",4954
"band",4952
"shout",4947
"fine",4943
"project",4922
"green",4913
"knew",4903
"woman",4899
"eyes",4897
"lady",4885
"film",4877
"small",4846
"x",4838
"john",4823
"experience",4823
"write",4798
"date",4791
"shows",4772
"couple",4763
"dad",4762
"tweeting",4752
"m",4741
"dead",4732
"mention",4720
"fight",4719
"series",4717
"american",4709
"store",4709
"fire",4708
"living",4701
"em",4697
"catch",4690
"forever",4688
"picture",4686
"safe",4686
"street",4682
"body",4679
"anymore",4674
"final",4673
"won",4671
"group",4661
"sign",4649
"lose",4641
"nyc",4638
"fast",4632
"couldn't",4623
"conference",4618
"eating",4615
"works",4614
"y'all",4609
"order",4603
"radio",4600
"behind",4583
"wine",4570
"important",4561
"google",4556
"books",4552
"history",4552
"happened",4550
"smile",4542
"wouldn't",4540
"become",4536
"shot",4531
"die",4522
"starts",4513
"hand",4510
"library",4508
"kinda",4505
"sun",4505
"add",4503
"wear",4493
"local",4492
"wit",4490
"album",4489
"t",4487
"everybody",4484
"smh",4480
"bet",4480
"hopefully",4454
"sucks",4447
"public",4411
"short",4411
"gave",4406
"light",4404
"april",4379
"cut",4374
"aren't",4365
"center",4358
"worst",4354
"ones",4353
"answer",4345
"learning",4343
"feels",4334
"tried",4333
"vote",4331
"stand",4329
"interested",4322
"tour",4320
"followed",4313
"sent",4312
"brother",4274
"save",4272
"da",4267
"months",4261
"songs",4259
"loving",4221
"fact",4211
"company",4200
"moving",4194
"link",4187
"pic",4172
"message",4163
"blue",4161
"nigga",4160
"hold",4158
"knows",4157
"met",4150
"justin",4145
"dreams",4145
"takes",4124
"tuesday",4120
"country",4112
"heading",4110
"shoot",4103
"hurt",4091
"dc",4089
"sitting",4086
"folks",4074
"available",4072
"case",4071
"lucky",4070
"front",4061
"fb",4060
"national",4055
"football",4049
"beach",4044
"asked",4041
"community",4039
"alone",4026
"thoughts",4019
"concert",4018
"ball",4007
"ideas",4000
"breakfast",3993
"exactly",3992
"sharing",3987
"played",3986
"forgot",3983
"road",3973
"afternoon",3972
"son",3966
"opening",3964
"bored",3951
"act",3951
"ice",3950
"questions",3935
"2nd",3934
"ride",3929
"sports",3926
"wearing",3925
"area",3922
"watched",3908
"pm",3906
"record",3882
"iphone",3855
"enjoyed",3854
"absolutely",3852
"hoping",3847
"rather",3841
"air",3835
"sex",3829
"loves",3828
"speak",3827
"session",3825
"cannot",3817
"strong",3817
"pass",3816
"gift",3805
"contact",3804
"ladies",3797
"cover",3777
"test",3770
"wake",3764
"needed",3748
"paper",3741
"kill",3734
"sexy",3732
