"freq","word_input","word_pred"
23601,"thanks for","the"
8823,"looking forward","to"
8656,"thank you","for"
8412,"i love","you"
7855,"for the","follow"
7414,"going to","be"
7337,"can't wait","to"
7113,"i want","to"
6249,"a lot","of"
5991,"to be","a"
5919,"i need","to"
5762,"i have","a"
5586,"one of","the"
5446,"have a","great"
5304,"to see","you"
4994,"i have","to"
4792,"i'm going","to"
4659,"is going","to"
4416,"you have","a"
4384,"to go","to"
4302,"let me","know"
4266,"for the","rt"
4041,"i don't","know"
3896,"i wish","i"
3814,"i feel","like"
3801,"i think","i"
3639,"you want","to"
3608,"thanks for","following"
3556,"of the","day"
3474,"you so","much"
3412,"would love","to"
3398,"one of","my"
3328,"wait to","see"
3297,"you have","to"
3296,"a great","day"
3296,"you for","the"
3247,"how are","you"
3223,"in the","world"
3160,"it was","a"
3148,"i can't","wait"
3032,"can't wait","for"
2964,"thanks so","much"
2946,"what do","you"
2943,"so i","can"
2941,"i will","be"
2864,"do you","have"
2839,"had a","great"
2836,"the end","of"
2814,"if you","want"
2788,"i need","a"
2771,"the rest","of"
2760,"be able","to"
2749,"out of","the"
2746,"i miss","you"
2724,"so much","for"
2648,"i had","a"
2643,"what are","you"
2627,"do you","think"
2604,"wish i","could"
2574,"check it","out"
2555,"i don't","think"
2549,"to see","the"
2516,"look forward","to"
2511,"if you","are"
2506,"want to","be"
2497,"please follow","me"
2494,"is the","best"
2463,"thank you","so"
2455,"you need","to"
2448,"if you","have"
2423,"the first","time"
2405,"i hope","you"
2336,"in the","morning"
2333,"all the","time"
2307,"i love","it"
2299,"go to","the"
2292,"we need","to"
2239,"i love","the"
2230,"don't want","to"
2227,"to have","a"
2212,"let us","know"
2161,"i am","so"
2156,"need to","get"
2145,"it would","be"
2121,"to get","a"
2100,"i know","i"
2095,"have a","good"
2091,"if you","don't"
2063,"looking for","a"
2060,"a great","time"
2051,"for the","first"
2042,"to all","the"
2034,"it will","be"
2033,"s o","to"
2032,"going to","the"
2017,"i don't","have"
1990,"there is","a"
1961,"how do","you"
1950,"on my","way"
1942,"to meet","you"
1941,"that would","be"
1936,"we have","a"
1925,"hope to","see"
1920,"of the","year"
1914,"would like","to"
1911,"are going","to"
1898,"a good","day"
1884,"i have","no"
1882,"a great","weekend"
1878,"shout out","to"
1865,"this is","the"
1839,"happy birthday","to"
1832,"be sure","to"
1825,"to be","in"
1816,"i love","my"
1801,"in front","of"
1788,"to be","the"
1785,"there is","no"
1752,"end of","the"
1750,"want to","go"
1743,"have to","be"
1742,"in my","life"
1734,"happy mothers","day"
1731,"one of","those"
1731,"we will","be"
1722,"part of","the"
1712,"i don't","want"
1709,"check out","the"
1706,"i had","to"
1706,"did you","know"
1699,"of the","best"
1693,"i got","a"
1684,"happy new","year"
1676,"all of","the"
1664,"are you","going"
1659,"the only","one"
1657,"rt if","you"
1654,"i just","want"
1639,"for the","mention"
1638,"this is","a"
1628,"see you","there"
1623,"know how","to"
1620,"do you","know"
1613,"in love","with"
1613,"at the","end"
1612,"is one","of"
1609,"trying to","get"
1606,"to talk","to"
1604,"of my","life"
1599,"to make","a"
1590,"to make","it"
1586,"i am","a"
1579,"for all","the"
1579,"sounds like","a"
1578,"as long","as"
1577,"happy mother's","day"
1569,"back to","the"
1563,"rest of","the"
1552,"wish i","was"
1546,"i used","to"
1543,"you going","to"
1540,"when i","was"
1517,"i was","just"
1514,"thanks for","sharing"
1514,"i love","that"
1512,"want to","see"
1501,"thank you","to"
1499,"some of","the"
1480,"where are","you"
1474,"as much","as"
1472,"you know","what"
1468,"i would","love"
1463,"is a","great"
1462,"i hate","when"
1460,"i am","not"
1458,"be a","good"
1454,"don't forget","to"
1453,"a bunch","of"
1449,"you are","a"
1445,"to do","it"
1438,"just want","to"
1427,"are you","doing"
1426,"i get","a"
1425,"what to","do"
1424,"will be","a"
1414,"need to","be"
1412,"getting ready","for"
1411,"on the","way"
1410,"i just","got"
1408,"go back","to"
1406,"it's going","to"
1400,"at the","same"
1395,"my way","to"
1394,"awkward moment","when"
1393,"i wonder","if"
1389,"that was","a"
1386,"hope you","have"
1379,"the fact","that"
1377,"a long","time"
1376,"i get","to"
1366,"don't know","what"
1365,"when i","get"
1359,"you guys","are"
1357,"know if","you"
1352,"can i","get"
1348,"the same","thing"
1345,"back in","the"
1345,"to have","you"
1344,"it is","a"
1343,"for the","#ff"
1340,"a chance","to"
1330,"i don't","like"
1330,"i have","been"
1329,"getting ready","to"
1321,"for the","next"
1320,"not going","to"
1318,"i can't","believe"
1313,"i want","a"
1312,"gonna be","a"
1308,"to get","my"
1298,"ready for","the"
1297,"if you","need"
1294,"don't have","to"
1282,"the same","time"
1278,"of my","favorite"
1273,"check out","our"
1272,"all the","way"
1269,"get out","of"
1269,"is in","the"
1267,"you had","a"
1258,"a couple","of"
1254,"have to","go"
1254,"to get","to"
1253,"thanks for","your"
1247,"love you","too"
1246,"i think","you"
1244,"i think","it's"
1237,"to do","with"
1234,"but i","don't"
1230,"wait for","the"
1226,"to get","the"
1223,"forward to","seeing"
1222,"i love","your"
1221,"in a","few"
1217,"is not","a"
1217,"out of","my"
1215,"time to","get"
1214,"i think","the"
1212,"go to","sleep"
1211,"have no","idea"
1209,"to take","a"
1208,"i know","you"
1208,"you and","your"
1207,"i think","i'm"
1205,"much for","the"
1201,"in the","middle"
1200,"hit me","up"
1198,"wish i","had"
1195,"did you","get"
1194,"i can","get"
1190,"what a","great"
1189,"make sure","you"
1188,"to all","of"
1186,"you know","that"
1185,"welcome to","the"
1181,"is a","good"
1180,"i have","the"
1172,"thought it","was"
1172,"would be","a"
1171,"be in","the"
1169,"you don't","have"
1169,"if you","can"
1167,"have you","been"
1167,"i was","in"
1166,"thanks to","all"
1165,"and i","will"
1161,"who wants","to"
1160,"are the","best"
1153,"me know","if"
1152,"for me","to"
1152,"to be","on"
1150,"was going","to"
1147,"i like","the"
1146,"in my","head"
1144,"is there","a"
1141,"we have","to"
1141,"and i","have"
1139,"for a","great"
1137,"to check","out"
1136,"for you","to"
1135,"up in","the"
1135,"have to","do"
1132,"every time","i"
1131,"what is","the"
1130,"all is","well"
1126,"let you","know"
1120,"i was","a"
1118,"will you","be"
1117,"i am","going"
1117,"forward to","the"
1116,"you can","do"
1116,"be a","great"
1113,"love to","see"
1113,"you are","the"
1112,"spread the","word"
1112,"the only","thing"
1112,"to see","it"
1111,"the way","to"
